Record ID,year,month,MoleculeName,TradeName,ProductName,Packs,Value,Date
147,2018,1,molecule5,brand10,SKU24,12975.0,207942.63417114905,2018-01-01
146,2018,1,molecule5,brand9,SKU23,974.0,2084.22281085972,2018-01-01
145,2018,1,molecule5,brand9,SKU22,1169.0,2323.985825789638,2018-01-01
144,2018,1,molecule5,brand9,SKU21,697.0,1765.0112071237193,2018-01-01
143,2018,1,molecule5,brand8,SKU20,24413.0,121883.23228295273,2018-01-01
142,2018,1,molecule5,brand8,SKU19,4932.0,39189.30749555908,2018-01-01
141,2018,1,molecule5,brand7,SKU18,43844.0,181674.06155231598,2018-01-01
140,2018,1,molecule5,brand7,SKU17,307810.0,681561.8520321599,2018-01-01
139,2018,1,molecule5,brand7,SKU16,15937.0,62714.4164667453,2018-01-01
138,2018,1,molecule5,brand7,SKU15,169404.0,346951.1422612783,2018-01-01
137,2018,1,molecule5,brand7,SKU14,89846.0,258918.5375985703,2018-01-01
136,2018,1,molecule5,brand6,SKU13,24297.0,110112.9477794129,2018-01-01
135,2018,1,molecule5,brand6,SKU12,69282.0,191646.03187728155,2018-01-01
134,2018,1,molecule5,brand6,SKU11,16142.0,82233.13782611789,2018-01-01
133,2018,1,molecule5,brand6,SKU10,37822.0,97941.61630225599,2018-01-01
132,2018,1,molecule5,brand6,SKU9,5960.0,34630.186587232645,2018-01-01
131,2018,1,molecule5,brand6,SKU8,15029.0,54609.473573825075,2018-01-01
130,2018,1,molecule4,brand5,SKU7,3817.0,65370.65679771679,2018-01-01
129,2018,1,molecule4,brand4,SKU6,939.0,6174.715453812989,2018-01-01
128,2018,1,molecule3,brand3,SKU5,18303.0,61226.67974286879,2018-01-01
127,2018,1,molecule3,brand3,SKU4,17210.0,74879.87502720549,2018-01-01
126,2018,1,molecule2,brand2,SKU3,26204.0,11290.992442127597,2018-01-01
125,2018,1,molecule2,brand2,SKU2,8680.0,6261.1963999476375,2018-01-01
184,2018,1,molecule14,brand31,SKU78,380.0,25351.847719981353,2018-01-01
151,2018,1,molecule5,brand11,SKU28,31073.0,260793.5891958226,2018-01-01
152,2018,1,molecule5,brand12,SKU29,1803.0,19135.81529317028,2018-01-01
124,2018,1,molecule1,brand1,SKU1,1527.0,16956.938255260517,2018-01-01
154,2018,1,molecule6,brand14,SKU44,47429.0,112786.8325540953,2018-01-01
181,2018,1,molecule12,brand29,SKU74,949.0,3541.8103642616993,2018-01-01
180,2018,1,molecule11,brand28,SKU73,18975.0,309268.64881490066,2018-01-01
179,2018,1,molecule10,brand27,SKU72,292.0,10874.325415287018,2018-01-01
178,2018,1,molecule10,brand27,SKU71,248.0,4963.900705364573,2018-01-01
177,2018,1,molecule9,brand26,SKU67,47.0,146.7039344669233,2018-01-01
176,2018,1,molecule9,brand25,SKU66,271704.0,3201635.3952826746,2018-01-01
175,2018,1,molecule9,brand25,SKU65,8888.0,35447.65297847864,2018-01-01
174,2018,1,molecule9,brand24,SKU64,17093.0,73935.3840863265,2018-01-01
173,2018,1,molecule9,brand23,SKU63,30891.0,127789.43259638386,2018-01-01
172,2018,1,molecule9,brand22,SKU62,33750.0,1010287.5686297168,2018-01-01
171,2018,1,molecule9,brand21,SKU61,5246.0,150241.82356666852,2018-01-01
170,2018,1,molecule9,brand21,SKU60,41.0,1180.3954580027553,2018-01-01
169,2018,1,molecule8,brand20,SKU59,2498.0,14242.298587136915,2018-01-01
182,2018,1,molecule12,brand29,SKU75,1125.0,6094.175455882425,2018-01-01
167,2018,1,molecule7,brand18,SKU57,327.0,34066.2936039851,2018-01-01
168,2018,1,molecule8,brand19,SKU58,94512.0,145981.5180819513,2018-01-01
155,2018,1,molecule6,brand14,SKU45,10920.0,38499.26217158445,2018-01-01
156,2018,1,molecule6,brand14,SKU46,74110.0,149655.71584350054,2018-01-01
157,2018,1,molecule6,brand15,SKU47,64842.0,363707.4158598665,2018-01-01
159,2018,1,molecule6,brand15,SKU49,116625.0,516712.181599519,2018-01-01
160,2018,1,molecule6,brand16,SKU50,239.0,2421.8087965352174,2018-01-01
158,2018,1,molecule6,brand15,SKU48,10088.0,73622.34096234369,2018-01-01
162,2018,1,molecule6,brand16,SKU52,267.0,1706.5677386853952,2018-01-01
163,2018,1,molecule6,brand17,SKU53,63.0,1823.9524326672458,2018-01-01
164,2018,1,molecule6,brand17,SKU54,446.0,17033.803765541375,2018-01-01
165,2018,1,molecule6,brand17,SKU55,19.0,460.30908250934334,2018-01-01
166,2018,1,molecule7,brand18,SKU56,188.0,19227.66545309118,2018-01-01
161,2018,1,molecule6,brand16,SKU51,188.0,2517.8203273895733,2018-01-01
328,2018,2,molecule16,brand39,SKU100,10719.0,120708.87945553524,2018-02-01
325,2018,2,molecule16,brand37,SKU97,59379.0,133027.6023811106,2018-02-01
326,2018,2,molecule16,brand37,SKU98,172304.0,599404.1325235514,2018-02-01
327,2018,2,molecule16,brand38,SKU99,1407.0,4636.479516758381,2018-02-01
329,2018,2,molecule17,brand43,SKU106,6.0,488.20578488728853,2018-02-01
335,2018,2,molecule19,brand48,SKU114,188.0,19526.41903748855,2018-02-01
331,2018,2,molecule18,brand44,SKU108,38.0,445.7425029660844,2018-02-01
332,2018,2,molecule18,brand45,SKU109,88986.0,883404.2129397442,2018-02-01
333,2018,2,molecule18,brand46,SKU110,3899.0,36377.28210341065,2018-02-01
334,2018,2,molecule19,brand48,SKU113,113.0,11676.752705841714,2018-02-01
324,2018,2,molecule16,brand37,SKU96,77098.0,348540.9646587001,2018-02-01
330,2018,2,molecule17,brand43,SKU105,13.0,1086.9657775232142,2018-02-01
323,2018,2,molecule16,brand36,SKU95,1527.0,7822.613704698713,2018-02-01
316,2018,2,molecule16,brand34,SKU88,170.0,1315.7950697086644,2018-02-01
321,2018,2,molecule16,brand36,SKU93,143901.0,273888.0210679082,2018-02-01
320,2018,2,molecule16,brand36,SKU92,1445.0,9461.014439983683,2018-02-01
319,2018,2,molecule16,brand36,SKU91,154061.0,600316.0777921912,2018-02-01
318,2018,2,molecule16,brand35,SKU90,57.0,401.18931800515463,2018-02-01
317,2018,2,molecule16,brand35,SKU89,361.0,6291.342013806747,2018-02-01
315,2018,2,molecule16,brand34,SKU87,898.0,20769.279869334892,2018-02-01
314,2018,2,molecule16,brand33,SKU86,4405.0,44120.787037331575,2018-02-01
313,2018,2,molecule16,brand33,SKU85,1232.0,9473.217666758224,2018-02-01
312,2018,2,molecule16,brand33,SKU84,4046.0,52111.67794505052,2018-02-01
311,2018,2,molecule16,brand33,SKU83,2802.0,19226.333614271225,2018-02-01
310,2018,2,molecule16,brand33,SKU82,3776.0,90489.39039714991,2018-02-01
309,2018,2,molecule16,brand33,SKU81,2111.0,27950.327566941447,2018-02-01
336,2018,2,molecule20,brand49,SKU115,210.0,19413.42614343083,2018-02-01
322,2018,2,molecule16,brand36,SKU94,308655.0,988178.2832264537,2018-02-01
337,2018,2,molecule20,brand49,SKU116,126.0,11486.015638424098,2018-02-01
351,2018,2,molecule22,brand56,SKU133,69734.0,141161.12382693094,2018-02-01
339,2018,2,molecule21,brand50,SKU117,141.0,11257.208951438037,2018-02-01
366,2018,2,molecule28,brand71,SKU157,1948.0,44556.19097360152,2018-02-01
365,2018,2,molecule27,brand69,SKU152,22192.0,67154.09820439252,2018-02-01
364,2018,2,molecule27,brand69,SKU151,6968.0,38572.141021711206,2018-02-01
363,2018,2,molecule27,brand68,SKU150,15296.0,117789.36174791784,2018-02-01
362,2018,2,molecule27,brand68,SKU149,3547.0,49988.13311992434,2018-02-01
